l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;32.5;111.567;56.167;19.967
0.15;13.367;56.433;54.867;10.967
0.2;7.5;31.433;29.733;7.0
0.25;2.5;19.8;17.9;3.3
0.3;2.5;12.933;11.967;2.433
0.35;1.667;9.033;8.467;1.667
0.4;0.833;6.0;6.0;0.833
0.45;0.833;5.0;5.0;0.833
0.5;0.833;4.033;4.033;0.833
