l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;351.0;174.0;382.0;29.0
0.15;793.0;396.0;932.0;65.0
0.2;1401.0;708.0;1870.0;118.0
0.25;2203.0;1145.0;3019.0;189.0
0.3;3223.0;1748.0;4708.0;279.0
0.35;4978.0;2308.0;6614.0;384.0
0.4;6585.0;3245.0;8868.0;509.0
0.45;8447.0;4157.0;11461.0;653.0
0.5;10580.0;5179.0;14349.0;816.0
