delay;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.01;1413.0;250.0;881.0;1480.0
0.02;830.0;353.0;1591.0;2362.0
0.03;900.0;543.0;2032.0;2651.0
0.04;928.0;640.0;2794.0;3425.0
0.05;997.0;852.0;3060.0;3510.0
0.06;1092.0;1201.0;3797.0;3919.0
0.07;1131.0;1058.0;3961.0;4846.0
0.08;1324.0;812.0;4753.0;4789.0
0.09;1199.0;1146.0;4758.0;5314.0
0.1;1236.0;1084.0;5294.0;6335.0
