l1;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.0001;85.033;86.3;54.167;34.833
0.0002;68.833;69.9;36.667;31.933
0.0003;57.533;58.0;55.933;26.533
0.0004;49.767;49.833;46.3;26.567
0.0005;44.167;44.0;39.467;25.833
0.0006;39.167;39.167;35.5;23.767
0.0007;35.0;35.267;31.667;20.0
0.0008;31.767;32.367;28.667;19.5
0.0009;29.2;29.533;25.733;18.9
0.001;26.667;27.467;22.8;18.4
