quantity;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
1;18.167;18.267;18.233;19.133
5;28.5;81.167;54.833;18.767
10;31.333;100.6;46.767;18.867
15;31.0;100.233;52.367;18.833
20;31.333;109.833;54.0;18.933
25;29.433;96.633;54.867;19.933
30;32.033;104.367;47.433;21.1
35;25.667;110.7;48.9;18.5
40;26.967;107.567;55.167;18.933
45;28.5;112.367;38.833;18.867
50;28.367;111.233;49.467;19.0
