l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;336.0;49.0;31.0;29.0
0.15;755.0;98.0;86.0;64.0
0.2;1415.0;176.0;274.0;117.0
0.25;2344.0;281.0;510.0;189.0
0.3;3338.0;410.0;853.0;278.0
0.35;4202.0;566.0;1270.0;384.0
0.4;4953.0;748.0;1722.0;510.0
0.45;8428.0;972.0;2321.0;650.0
0.5;10563.0;1201.0;2895.0;815.0
