l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;15.833;30.533;27.733;19.633
0.15;13.367;13.833;11.967;11.0
0.2;5.667;7.867;6.0;6.967
0.25;3.333;4.033;4.033;4.1
0.3;2.5;2.5;1.667;2.5
0.35;0.833;1.533;1.667;1.667
0.4;0.833;0.833;0.833;0.833
0.45;0.833;0.833;0.833;0.833
0.5;0.833;0.833;0.833;0.833
