l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;83.0;200.0;255.0;791.0
0.15;117.0;273.0;220.0;1047.0
0.2;227.0;383.0;231.0;1779.0
0.25;334.0;106.0;243.0;2657.0
0.3;508.0;287.0;242.0;4393.0
0.35;396.0;84.0;233.0;5443.0
0.4;255.0;90.0;238.0;6919.0
0.45;806.0;87.0;267.0;8537.0
0.5;416.0;87.0;261.0;10773.0
