l1;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.0001;382.0;107.0;676.0;342.0
0.0002;779.0;172.0;370.0;1510.0
0.0003;399.0;243.0;280.0;432.0
0.0004;963.0;314.0;281.0;467.0
0.0005;485.0;381.0;508.0;474.0
0.0006;1610.0;435.0;390.0;590.0
0.0007;1503.0;501.0;477.0;582.0
0.0008;659.0;573.0;548.0;570.0
0.0009;714.0;644.0;621.0;651.0
0.001;775.0;696.0;687.0;646.0
