l1;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.0001;267.0;276.0;508.0;632.0
0.0002;349.0;333.0;248.0;966.0
0.0003;394.0;363.0;352.0;604.0
0.0004;456.0;426.0;377.0;1522.0
0.0005;527.0;483.0;362.0;597.0
0.0006;604.0;513.0;412.0;574.0
0.0007;645.0;618.0;457.0;572.0
0.0008;992.0;624.0;502.0;669.0
0.0009;761.0;619.0;553.0;632.0
0.001;839.0;701.0;595.0;672.0
