quantity;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
1;30.0;30.0;29.0;28.0
5;79.0;33.0;32.0;29.0
10;138.0;46.0;33.0;29.0
15;208.0;46.0;32.0;29.0
20;267.0;48.0;31.0;29.0
25;312.0;48.0;32.0;29.0
30;381.0;48.0;33.0;29.0
35;486.0;48.0;32.0;29.0
40;643.0;48.0;33.0;29.0
45;592.0;49.0;33.0;29.0
50;642.0;48.0;33.0;29.0
