l1;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.0001;102.333;120.0;56.067;35.7
0.0002;77.533;99.167;58.067;30.267
0.0003;65.867;67.133;58.833;28.3
0.0004;55.267;50.867;51.067;27.7
0.0005;48.367;41.267;41.167;26.333
0.0006;41.767;34.333;29.867;23.6
0.0007;38.267;28.633;28.667;20.833
0.0008;35.0;25.7;25.8;21.833
0.0009;32.5;22.667;22.8;19.867
0.001;27.5;20.8;20.833;18.967
