l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;96.0;231.0;249.0;573.0
0.15;125.0;148.0;234.0;1028.0
0.2;163.0;114.0;213.0;1629.0
0.25;142.0;148.0;246.0;2547.0
0.3;334.0;144.0;237.0;3941.0
0.35;835.0;111.0;226.0;5826.0
0.4;1833.0;130.0;257.0;7119.0
0.45;84.0;100.0;222.0;8373.0
0.5;84.0;263.0;247.0;10431.0
