l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;756.0;571.0;636.0;819.0
0.15;1631.0;1125.0;1146.0;1112.0
0.2;2835.0;1955.0;2085.0;1895.0
0.25;4546.0;2805.0;3255.0;2846.0
0.3;6604.0;4262.0;4948.0;4671.0
0.35;9664.0;5465.0;6845.0;5827.0
0.4;12760.0;7824.0;9104.0;7427.0
0.45;16353.0;9977.0;11727.0;9189.0
0.5;20460.0;12477.0;14609.0;11587.0
