l0;cooperative/cooperative;cooperative/preemptive;serial/preemptive;serial/serial
0.1;727.0;319.0;279.0;600.0
0.15;1566.0;337.0;319.0;1092.0
0.2;2869.0;490.0;484.0;1745.0
0.25;4637.0;761.0;752.0;2734.0
0.3;6738.0;1072.0;1086.0;4216.0
0.35;8852.0;1459.0;1488.0;6209.0
0.4;11195.0;1924.0;1977.0;7627.0
0.45;16339.0;2495.0;2541.0;9020.0
0.5;20419.0;2998.0;3134.0;11245.0
